"LINK_NAME","LINK_URL","LINK_CATEGORY","EXTERNAL_TRACKING","CREATED_DATE_","MODIFIED_DATE_","IOS_LINK_URL","ANDROID_LINK_URL"
"webview","${form(campaign.name,{},'CONTACTS_LIST.CUSTOMER_ID_','CONTACTS_LIST.STATE_','CONTACTS_LIST.DATE_OF_BIRTH','date_var','CONTACTS_LIST.EMAIL_ADDRESS_','Launch_Date','utm_Source','CONTACTS_LIST.PRIMARY_DEPART_CITY','CONTACTS_LIST.COUNTRY_','CONTACTS_LIST.FIRST_NAME','CONTACTS_LIST.LAST_NAME','AVAILABLE_POINTS','CURRENT_TIER','LOYALTY_STATUS','MEMBER_NUM','LAST_TDATE','CONTACTS_LIST.MOBILE_NUMBER_','MINFO_MILLION_MILE','SUBJECT_LINE','SEGNUMBER','date_var','headerimg','deploy_date','CONTACTS_LIST.WEB_GUID','MEMBER_INFO.BANK_CARD_DESIGNATOR','MEMBER_INFO.CURRENT_TIER','MEMBER_INFO.BMM_INDICATOR','TOTAL_POINTS','EQM_POINTS' )}",,,"2020-11-01 18:54:59","2020-12-09 18:34:58",,
"disc_primary_terms_text","http://www.alaskaair.com/planbook/?lead=tc&discountcode=hello2021&SITE_PREF=full","Book",,"2020-11-05 15:29:14","2020-12-09 15:36:03",,
"secondary_g_offer_hello2021_text","http://www.alaskaair.com/planbook/?lead=tc&discountcode=hello2021&SITE_PREF=full",,,"2020-12-09 15:33:45","2020-12-16 16:47:34",,
"header_all_img","https://www.alaskaair.com/","Home",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"header_logo_mp","https://www.alaskaair.com/","Home",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"logo_home","https://www.alaskaair.com/","Home",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"Logo_Home","https://www.alaskaair.com/","Home",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"logo_home_c49","https://www.club49hub.com/","Club49","disable","2020-11-01 18:55:47","2020-11-01 18:55:47",,
"logo_home_en","https://www.alaskaair.com/en/","Home",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"PreHeader_SignIn","https://www.alaskaair.com/www2/ssl/myalaskaair/MyAlaskaAir.aspx?CurrentForm=UCSignInStart","MyAccount",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"preheader_signin","https://www.alaskaair.com/www2/ssl/myalaskaair/MyAlaskaAir.aspx?CurrentForm=UCSignInStart","MyAccount",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"PreHeader_SignUp","https://www.alaskaair.com/account/join-mileage-plan","MyAccount",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
